Aluguel,Extras,Localização,Tamanho,Quartos,Banheiros,Bairro
R$ 3.000 /mês,0.0,"Avenida Engenheiro Roberto Freire, 4792 - Ponta Negra, Natal - RN",55,2 Quartos,2 Banheiros,Ponta Negra
R$ 2.100 /mês,0.0,"Rua dos Potiguares, 1843 - Lagoa Nova, Natal - RN",72,3 Quartos,2 Banheiros,Lagoa Nova
R$ 2.500 /mês,500.0,"Rua Teotônio Freire, 75 - Ribeira, Natal - RN",78,3 Quartos,2 Banheiros,Ribeira
R$ 2.800 /mês,0.0,"Rua do Golfinho - Ponta Negra, Natal - RN",55,2 Quartos,2 Banheiros,Ponta Negra
"R$ 880 /mês
Preço abaixo do mercado",320.0,"Rua Minas Novas, 225 - Neópolis, Natal - RN",60,2 Quartos,1 Banheiro,Neópolis
R$ 2.199 /mês,0.0,"Capim Macio, Natal - RN",68,3 Quartos,1 Banheiro,Capim Macio
"R$ 1.400 /mês
Preço abaixo do mercado",324.0,"Rua Joaquim Eduardo de Farias - Ponta Negra, Natal - RN",56,2 Quartos,2 Banheiros,Ponta Negra
R$ 2.000 /mês,0.0,"Rua Praia de Camurupim, 8968 - Ponta Negra, Natal - RN",40,1 Quarto,1 Banheiro,Ponta Negra
R$ 1.500 /mês,450.0,"Rua Comerciário Carlos Serrano, 2003 - Lagoa Nova, Natal - RN",62,2 Quartos,1 Banheiro,Lagoa Nova
R$ 2.400 /mês,0.0,"Rua Alberto Maranhão - Tirol, Natal - RN",75,3 Quartos,2 Banheiros,Tirol
"R$ 2.500 /mês
Preço abaixo do mercado",0.0,"Avenida Praia de Ponta Negra - Ponta Negra, Natal - RN",58,2 Quartos,1 Banheiro,Ponta Negra
R$ 1.600 /mês,0.0,"Ribeira, Natal - RN",56,2 Quartos,1 Banheiro,Ribeira
R$ 2.000 /mês,0.0,"Avenida dos Caiapós, 1945 - Pitimbu, Natal - RN",51,2 Quartos,1 Banheiro,Pitimbu
R$ 1.800 /mês,300.0,"Candelária, Natal - RN",56,2 Quartos,2 Banheiros,Candelária
R$ 1.100 /mês,0.0,"Rua Santa Rita, 135 - Ponta Negra, Natal - RN",46,2 Quartos,1 Banheiro,Ponta Negra
R$ 1.600 /mês,350.0,"Lagoa Nova, Natal - RN",36,1 Quarto,1 Banheiro,Lagoa Nova
R$ 2.200 /mês,0.0,"Petrópolis, Natal - RN",56,2 Quartos,2 Banheiros,Petrópolis
R$ 2.000 /mês,0.0,"Rua Professor Pedro Pinheiro de Souza, 95 - Ponta Negra, Natal - RN",54,2 Quartos,1 Banheiro,Ponta Negra
R$ 1.700 /mês,0.0,"Rua São José, 2026 - Lagoa Nova, Natal - RN",78,3 Quartos,2 Banheiros,Lagoa Nova
R$ 2.199 /mês,0.0,"Capim Macio, Natal - RN",68,3 Quartos,1 Banheiro,Capim Macio
R$ 1.400 /mês,0.0,"Rua Minas Novas, 225 - Neópolis, Natal - RN",56,2 Quartos,1 Banheiro,Neópolis
R$ 2.000 /mês,0.0,"Rua Edson Teixeira da Silva, 1 - Ponta Negra, Natal - RN",46,2 Quartos,2 Banheiros,Ponta Negra
R$ 2.400 /mês,1.0,"Avenida Engenheiro Roberto Freire, 43 - Ponta Negra, Natal - RN",44,1 Quarto,1 Banheiro,Ponta Negra
R$ 1.100 /mês,0.0,"Rua Abreulândia, 6637 - Planalto, Natal - RN",45,2 Quartos,1 Banheiro,Planalto
R$ 2.050 /mês,0.0,"Avenida Deputado Antônio Florêncio de Queiroz - Ponta Negra, Natal - RN",55,2 Quartos,2 Banheiros,Ponta Negra
R$ 2.200 /mês,0.0,"Rua José Mauro de Vasconcelos, 1915 - Capim Macio, Natal - RN",73,3 Quartos,2 Banheiros,Capim Macio
R$ 1.200 /mês,0.0,"Rua dos Pajeús - Alecrim, Natal - RN",54,2 Quartos,1 Banheiro,Alecrim
R$ 1.350 /mês,0.0,"Avenida Poços de Caldas, 2035 - Ponta Negra, Natal - RN",45,2 Quartos,1 Banheiro,Ponta Negra
R$ 2.950 /mês,0.0,"Rua Lúcia Viveiros, 649 - Neópolis, Natal - RN",72,3 Quartos,2 Banheiros,Neópolis
R$ 2.000 /mês,0.0,"Rua Desembargador Dionísio Filgueira, 777 - Petrópolis, Natal - RN",56,2 Quartos,2 Banheiros,Petrópolis
R$ 950 /mês,0.0,"Avenida Odilon Gomes de Lima, 1920 - Capim Macio, Natal - RN",45,1 Quarto,1 Banheiro,Capim Macio
